Brand,Year,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price
Tata,2013,9.15,193209,Diesel,Dealer,Manual,0,1.21
Maruti,2025,7.62,8174,Diesel,Dealer,Manual,0,6.67
Honda,2022,11.1,42821,Petrol,Dealer,Automatic,1,6.01
Hyundai,2014,8.67,179245,Diesel,Dealer,Manual,0,1.36
Renault,2022,6.24,50627,Diesel,Dealer,Automatic,0,3.45
Skoda,2024,10.99,26990,Petrol,Dealer,Manual,0,7.76
Renault,2008,7.61,278101,Petrol,Dealer,Manual,2,0.48
Tata,2008,6.92,292512,Petrol,Dealer,Manual,0,0.46
Skoda,2017,10.69,144529,Petrol,Individual,Manual,1,2.07
Honda,2025,11.12,17109,Diesel,Individual,Manual,0,9.05
Skoda,2023,12.42,43105,Diesel,Dealer,Manual,0,7.75
Mahindra,2012,10.97,216910,Petrol,Dealer,Manual,0,1.33
Mahindra,2024,11.47,39419,Petrol,Individual,Manual,1,6.92
Volkswagen,2019,10.14,112916,Petrol,Individual,Automatic,0,2.81
Mahindra,2009,12.54,260846,CNG,Dealer,Automatic,1,0.93
Ford,2022,10.51,51890,Petrol,Dealer,Manual,1,4.91
Hyundai,2018,9.17,101669,Petrol,Individual,Manual,0,2.1
Hyundai,2024,7.63,17347,Petrol,Individual,Manual,1,5.09
Volkswagen,2014,12.7,181875,Petrol,Dealer,Manual,0,1.78
Maruti,2024,7.18,28999,Diesel,Dealer,Automatic,1,5.5
Hyundai,2014,10.58,186854,CNG,Dealer,Automatic,1,1.39
Ford,2018,10.12,120863,Petrol,Individual,Manual,0,2.23
Maruti,2013,8.52,197210,Petrol,Individual,Automatic,0,1.13
Maruti,2009,8.75,249701,Diesel,Dealer,Automatic,0,0.73
Ford,2010,10.45,246564,CNG,Individual,Manual,0,0.73
Renault,2018,8.19,108142,Diesel,Dealer,Automatic,2,2.04
Renault,2020,8.3,89446,Petrol,Dealer,Manual,1,2.8
Ford,2010,10.29,232894,Petrol,Individual,Automatic,1,0.78
Maruti,2019,6.07,103951,Diesel,Dealer,Manual,0,1.87
Tata,2016,8.73,148486,Diesel,Dealer,Automatic,0,1.87
Tata,2020,8.32,98916,Petrol,Dealer,Manual,0,2.57
Skoda,2010,11.53,248609,Petrol,Dealer,Manual,0,1.0
Renault,2011,7.6,216060,Petrol,Dealer,Manual,0,0.77
Toyota,2018,15.83,117725,Diesel,Dealer,Manual,0,3.96
Tata,2019,7.46,106784,Diesel,Individual,Automatic,0,2.1
Honda,2022,9.27,53187,Petrol,Dealer,Manual,1,4.23
Maruti,2013,6.89,192530,Petrol,Individual,Manual,1,0.8
Ford,2014,8.2,174244,Petrol,Dealer,Automatic,3,1.11
Ford,2013,10.13,182512,Petrol,Dealer,Manual,0,1.32
Ford,2010,8.25,247182,CNG,Dealer,Automatic,3,0.57
Tata,2016,7.55,161640,Diesel,Dealer,Manual,0,1.41
Honda,2024,8.24,17473,Petrol,Dealer,Manual,0,5.94
Honda,2012,11.28,211981,Diesel,Individual,Manual,0,1.18
Volkswagen,2017,10.35,138080,Petrol,Individual,Automatic,0,2.31
Toyota,2018,16.66,110044,Petrol,Dealer,Manual,0,4.33
Mahindra,2019,10.13,112201,Petrol,Dealer,Automatic,0,2.97
Hyundai,2018,7.25,122096,Diesel,Dealer,Automatic,1,1.85
Skoda,2021,14.54,55720,CNG,Individual,Automatic,0,6.16
Renault,2015,7.5,166883,CNG,Individual,Manual,1,1.03
Mahindra,2014,9.9,169751,Diesel,Dealer,Automatic,0,1.73
Honda,2015,11.09,175195,Diesel,Individual,Automatic,1,1.64
Maruti,2014,6.09,171725,Diesel,Individual,Manual,2,0.76
Toyota,2022,12.17,55088,Diesel,Individual,Manual,0,5.97
Tata,2008,7.58,266706,Diesel,Dealer,Automatic,0,0.6
Skoda,2013,13.03,192516,Petrol,Individual,Manual,0,1.49
Ford,2020,10.56,106421,Petrol,Dealer,Manual,0,3.58
Renault,2020,7.62,91315,CNG,Dealer,Manual,0,2.26
Toyota,2011,12.0,218047,Diesel,Dealer,Manual,3,1.05
Tata,2017,7.23,134347,Petrol,Dealer,Automatic,0,1.74
Honda,2018,10.56,114289,Petrol,Dealer,Manual,2,2.21
Maruti,2018,8.17,118664,Petrol,Dealer,Automatic,1,2.13
Mahindra,2024,12.82,26167,Diesel,Dealer,Manual,3,8.05
Skoda,2015,10.37,146985,Petrol,Dealer,Manual,0,1.72
Honda,2017,9.26,133039,Petrol,Dealer,Manual,1,1.8
Skoda,2013,12.09,200179,Petrol,Dealer,Automatic,0,1.69
Honda,2016,9.34,155485,Diesel,Individual,Manual,0,1.59
Skoda,2016,13.48,161689,Petrol,Individual,Manual,0,2.39
Hyundai,2010,7.39,238498,CNG,Dealer,Manual,0,0.57
Volkswagen,2019,9.94,114501,Diesel,Individual,Manual,2,2.31
Ford,2010,10.43,232854,Petrol,Individual,Manual,1,0.84
Maruti,2014,8.23,186840,Diesel,Dealer,Manual,0,1.22
Renault,2009,6.03,240731,Petrol,Dealer,Manual,1,0.46
Renault,2013,8.44,205805,Petrol,Dealer,Manual,0,1.09
Hyundai,2025,7.24,14362,CNG,Dealer,Manual,2,5.49
Ford,2017,9.89,133791,Petrol,Dealer,Manual,1,2.1
Hyundai,2008,9.25,278473,Diesel,Dealer,Manual,0,0.64
Volkswagen,2020,11.97,98799,Diesel,Individual,Manual,0,3.4
Maruti,2022,7.41,55968,Petrol,Individual,Manual,1,3.07
Toyota,2025,12.9,26502,Diesel,Individual,Manual,0,10.46
Mahindra,2023,11.02,44059,Diesel,Individual,Manual,0,5.92
Volkswagen,2024,12.56,22845,Petrol,Dealer,Manual,0,10.07
Skoda,2014,13.65,179253,Petrol,Dealer,Manual,0,1.98
Maruti,2018,8.57,116081,Petrol,Dealer,Manual,0,2.0
Toyota,2020,13.8,95332,Petrol,Dealer,Manual,2,3.91
Ford,2011,8.32,221744,Petrol,Dealer,Manual,0,0.89
Honda,2019,9.96,89331,Petrol,Dealer,Manual,2,2.79
Hyundai,2025,10.57,5624,Petrol,Dealer,Manual,0,9.04
Renault,2023,7.68,40538,Petrol,Dealer,Manual,2,4.23
Tata,2021,7.26,62714,Petrol,Individual,Manual,0,3.06
Ford,2010,10.88,229783,Petrol,Individual,Manual,0,0.86
Hyundai,2012,9.64,219260,Diesel,Dealer,Manual,0,1.09
Honda,2010,11.65,240953,Diesel,Dealer,Manual,0,1.06
Renault,2015,6.32,165048,CNG,Dealer,Automatic,0,1.07
Skoda,2011,11.42,232522,Petrol,Individual,Manual,1,0.97
Skoda,2015,12.75,167686,CNG,Individual,Manual,0,1.71
Renault,2024,6.91,24303,Petrol,Individual,Manual,1,4.57
Renault,2011,8.54,216981,Diesel,Dealer,Automatic,0,0.89
Toyota,2016,12.62,147737,Diesel,Dealer,Automatic,0,2.75
Volkswagen,2016,11.7,138665,Petrol,Individual,Manual,0,2.06
Skoda,2023,10.39,33765,Diesel,Individual,Automatic,0,6.79
Hyundai,2013,10.45,209354,Diesel,Dealer,Manual,1,1.31
Volkswagen,2024,10.69,29525,Petrol,Dealer,Manual,0,7.39
Toyota,2020,15.57,96049,Petrol,Dealer,Manual,1,5.1
Volkswagen,2012,11.73,210417,Petrol,Dealer,Manual,1,1.33
Volkswagen,2011,11.2,208136,CNG,Dealer,Manual,1,0.96
Volkswagen,2025,10.6,10997,Petrol,Dealer,Automatic,1,9.5
Hyundai,2024,10.13,22361,Petrol,Dealer,Manual,0,7.35
Ford,2024,10.98,22354,CNG,Individual,Manual,1,6.52
Mahindra,2016,10.41,151198,Petrol,Dealer,Manual,0,1.9
Mahindra,2022,13.14,54845,Petrol,Dealer,Manual,1,6.03
Mahindra,2021,9.86,73165,CNG,Dealer,Manual,0,3.91
Renault,2024,8.7,31950,Petrol,Individual,Manual,2,5.15
Ford,2010,10.65,245225,Petrol,Dealer,Manual,1,0.9
Maruti,2025,8.75,14463,Petrol,Individual,Automatic,0,7.48
Hyundai,2015,7.4,169157,Petrol,Individual,Automatic,1,1.12
Toyota,2013,16.09,192826,Petrol,Individual,Manual,2,1.57
Toyota,2010,14.89,232090,Petrol,Dealer,Manual,1,1.16
Toyota,2019,16.51,104212,Petrol,Individual,Automatic,0,4.72
Maruti,2009,7.05,265307,Petrol,Individual,Manual,1,0.46
Toyota,2014,13.13,175654,Diesel,Dealer,Manual,0,1.9
Maruti,2022,7.07,67701,Petrol,Individual,Manual,0,3.28
Skoda,2025,14.39,3658,Petrol,Individual,Manual,1,11.27
Volkswagen,2017,12.4,149413,Petrol,Dealer,Manual,0,2.59
Honda,2015,10.96,152198,Diesel,Dealer,Manual,0,1.84
Ford,2018,10.09,125062,Petrol,Dealer,Automatic,1,2.4
Renault,2024,7.27,38060,CNG,Dealer,Manual,0,4.6
Toyota,2020,13.1,81533,Petrol,Dealer,Manual,0,4.89
Hyundai,2013,8.45,187963,Petrol,Dealer,Manual,0,1.15
Maruti,2024,6.23,18975,Petrol,Dealer,Manual,2,4.32
Hyundai,2022,9.01,66260,Petrol,Dealer,Manual,2,3.93
Skoda,2022,11.02,51017,Petrol,Dealer,Automatic,0,6.13
Volkswagen,2018,9.46,124564,Petrol,Dealer,Automatic,0,2.46
Mahindra,2015,11.25,165543,CNG,Individual,Manual,0,1.57
Skoda,2018,12.42,122415,Diesel,Dealer,Manual,0,2.96
Toyota,2010,15.95,240779,Petrol,Dealer,Manual,0,1.47
Skoda,2024,13.07,34748,Petrol,Individual,Manual,2,7.56
Skoda,2008,10.39,282960,Diesel,Dealer,Manual,2,0.64
Honda,2016,8.1,152003,Petrol,Individual,Manual,0,1.35
Mahindra,2010,12.76,222966,Petrol,Individual,Automatic,2,0.93
Skoda,2018,14.42,103324,Diesel,Dealer,Manual,3,3.06
Skoda,2015,11.98,162219,Petrol,Individual,Automatic,0,1.9
Volkswagen,2023,9.03,48008,Petrol,Individual,Manual,1,4.54
Volkswagen,2019,9.09,112739,Petrol,Dealer,Manual,0,2.48
Hyundai,2009,10.45,257160,Diesel,Individual,Manual,1,0.75
Renault,2019,7.15,108422,Petrol,Dealer,Automatic,3,1.65
Honda,2020,9.22,89126,Petrol,Individual,Automatic,0,2.9
Maruti,2023,6.39,41990,CNG,Dealer,Manual,0,3.43
Hyundai,2025,8.28,11962,Petrol,Individual,Manual,2,6.02
Tata,2022,9.3,63238,CNG,Dealer,Manual,0,4.32
Skoda,2024,14.86,39808,Petrol,Dealer,Manual,0,10.32
Hyundai,2009,7.49,257691,Petrol,Individual,Manual,0,0.5
Renault,2011,8.68,229821,Petrol,Individual,Automatic,0,0.8
Toyota,2010,12.25,235354,Diesel,Individual,Manual,1,0.91
Tata,2022,8.23,47456,CNG,Dealer,Manual,0,4.02
Mahindra,2025,11.01,13262,Petrol,Dealer,Manual,1,9.36
Hyundai,2015,8.0,170237,Petrol,Individual,Manual,0,1.21
Tata,2017,7.9,131480,CNG,Dealer,Manual,0,1.49
Volkswagen,2018,9.88,118847,Petrol,Individual,Manual,2,1.92
Volkswagen,2009,12.38,254158,Diesel,Dealer,Manual,2,0.89
Toyota,2014,15.61,187703,CNG,Dealer,Manual,1,2.01
Maruti,2021,7.24,63582,Diesel,Dealer,Manual,1,3.17
Honda,2024,9.11,46767,CNG,Dealer,Manual,0,5.84
Hyundai,2023,9.81,51220,Petrol,Dealer,Manual,0,5.64
Honda,2013,8.56,190019,Diesel,Dealer,Manual,1,1.11
Hyundai,2022,8.75,55469,Petrol,Dealer,Manual,0,4.42
Volkswagen,2012,12.08,225980,Petrol,Dealer,Manual,0,1.35
Skoda,2012,13.86,204280,Petrol,Dealer,Automatic,3,1.42
Ford,2024,10.92,26604,Petrol,Dealer,Manual,0,8.09
Ford,2015,9.7,172851,Diesel,Dealer,Manual,1,1.65
Volkswagen,2025,12.59,12912,Petrol,Dealer,Manual,1,11.11
Ford,2014,9.66,184409,Petrol,Dealer,Manual,2,1.23
Maruti,2023,7.86,39171,Petrol,Individual,Manual,2,3.7
Honda,2020,11.17,82478,Petrol,Individual,Manual,0,3.54
Mahindra,2012,12.76,212732,Petrol,Individual,Manual,0,1.33
Toyota,2025,12.12,24516,Petrol,Individual,Manual,0,9.63
Hyundai,2014,7.87,172120,Petrol,Dealer,Automatic,1,1.21
Hyundai,2025,8.63,17566,CNG,Dealer,Manual,1,6.19
Ford,2016,8.37,147501,Petrol,Dealer,Manual,2,1.46
Mahindra,2012,10.56,209659,Petrol,Individual,Manual,0,1.14
Mahindra,2015,9.5,169619,Diesel,Individual,Manual,2,1.37
Honda,2023,8.94,48000,Diesel,Dealer,Manual,1,4.93
Hyundai,2022,10.42,45878,Petrol,Individual,Manual,1,4.94
Hyundai,2021,8.2,80187,Petrol,Dealer,Manual,0,3.28
Renault,2022,8.51,70183,Diesel,Individual,Manual,0,3.98
Ford,2025,10.25,16028,CNG,Dealer,Manual,0,8.91
Honda,2009,9.64,255015,Petrol,Individual,Manual,3,0.59
Volkswagen,2013,12.16,182079,Diesel,Individual,Automatic,0,1.52
Skoda,2020,12.9,99827,Petrol,Dealer,Automatic,0,4.47
Ford,2025,7.83,2419,Diesel,Individual,Automatic,0,7.25
Ford,2022,8.53,46098,Petrol,Individual,Manual,1,4.0
Skoda,2017,12.49,131372,Diesel,Dealer,Automatic,1,2.76
Skoda,2018,10.88,111898,CNG,Individual,Manual,0,2.16
Hyundai,2009,7.63,249698,CNG,Dealer,Manual,1,0.52
Maruti,2021,7.72,74273,Diesel,Dealer,Manual,0,3.24
Hyundai,2016,7.8,143441,Petrol,Dealer,Manual,1,1.36
Skoda,2020,14.31,85384,Diesel,Dealer,Manual,1,5.11
Hyundai,2013,9.16,203793,Diesel,Dealer,Manual,1,1.09
Toyota,2020,15.68,84959,Petrol,Dealer,Manual,0,5.27
Toyota,2015,16.06,161388,Diesel,Dealer,Manual,1,2.76
Skoda,2016,12.74,141028,Diesel,Dealer,Manual,0,2.64
Toyota,2016,14.52,158873,Petrol,Dealer,Manual,0,2.57
Mahindra,2015,12.73,150182,Petrol,Dealer,Manual,2,1.79
Ford,2019,8.82,102564,Petrol,Individual,Manual,2,1.98
Hyundai,2021,10.11,59377,Petrol,Dealer,Manual,0,4.55
Volkswagen,2025,13.08,18871,Diesel,Individual,Automatic,0,11.44
Mahindra,2022,10.68,66884,CNG,Individual,Automatic,1,4.32
Maruti,2013,7.48,199629,Petrol,Dealer,Manual,1,0.89
Ford,2013,8.11,202031,Diesel,Dealer,Manual,1,1.02
Hyundai,2008,8.3,264867,Diesel,Dealer,Manual,0,0.59
Renault,2008,8.33,273147,Diesel,Dealer,Manual,0,0.61
Mahindra,2024,9.4,28327,CNG,Dealer,Manual,0,6.58
Hyundai,2021,9.26,66484,Petrol,Dealer,Manual,0,3.84
Volkswagen,2008,10.4,266345,Petrol,Dealer,Manual,1,0.69
Tata,2022,8.51,68196,Petrol,Dealer,Manual,0,3.98
Tata,2016,7.62,146400,Diesel,Individual,Manual,2,1.11
Toyota,2024,17.23,30258,Diesel,Individual,Automatic,3,10.47
Volkswagen,2009,12.49,264522,Diesel,Dealer,Manual,0,1.03
Volkswagen,2009,11.99,239627,Petrol,Dealer,Manual,3,0.79
Maruti,2014,6.44,166246,Petrol,Individual,Manual,0,0.9
Mahindra,2014,13.1,174581,Diesel,Individual,Manual,1,1.8
Tata,2010,6.64,233982,Petrol,Dealer,Manual,1,0.53
Tata,2014,8.91,181722,Diesel,Dealer,Automatic,1,1.3
Toyota,2023,14.64,42832,Petrol,Individual,Manual,0,7.71
Honda,2015,9.65,163113,Petrol,Dealer,Manual,0,1.65
Volkswagen,2009,8.98,267600,Petrol,Dealer,Automatic,0,0.76
Honda,2018,8.16,121587,Petrol,Dealer,Manual,1,2.0
Toyota,2008,15.27,270702,Petrol,Individual,Manual,2,0.89
Volkswagen,2008,10.79,273472,Petrol,Dealer,Automatic,0,0.79
Hyundai,2023,8.33,34883,CNG,Dealer,Manual,0,5.2
Skoda,2012,12.62,204717,Petrol,Individual,Manual,3,1.03
Renault,2017,8.36,123225,Petrol,Individual,Manual,0,1.74
Honda,2011,9.22,221824,Petrol,Dealer,Manual,0,0.95
Toyota,2012,13.89,215280,Diesel,Dealer,Manual,2,1.45
Honda,2011,11.5,216016,Petrol,Dealer,Manual,0,1.19
Toyota,2010,16.42,236057,Diesel,Individual,Manual,3,1.08
Tata,2010,7.93,237527,Petrol,Dealer,Manual,2,0.6
Honda,2008,8.49,254178,Petrol,Dealer,Manual,0,0.57
Ford,2014,8.87,172679,Petrol,Dealer,Manual,1,1.31
Toyota,2024,14.72,26256,Petrol,Individual,Manual,1,9.8
Hyundai,2015,9.83,171277,Petrol,Individual,Manual,3,1.27
Maruti,2009,7.79,261174,Diesel,Individual,Manual,2,0.47
Volkswagen,2012,10.66,213970,Petrol,Dealer,Manual,0,1.28
Hyundai,2012,10.26,216180,Petrol,Dealer,Manual,0,1.17
Maruti,2010,6.94,235809,Petrol,Individual,Manual,3,0.47
Ford,2025,10.67,12187,Petrol,Dealer,Automatic,0,9.88
Hyundai,2024,7.62,33153,Diesel,Dealer,Manual,1,5.01
Tata,2017,7.15,140851,Petrol,Individual,Automatic,0,1.47
Hyundai,2018,9.67,114049,Petrol,Dealer,Automatic,0,2.7
Honda,2016,11.58,159977,Petrol,Individual,Automatic,0,2.11
Mahindra,2016,11.18,140267,Diesel,Dealer,Manual,0,2.05
Hyundai,2019,8.38,106875,Petrol,Individual,Manual,2,1.77
Renault,2013,6.98,199391,Petrol,Dealer,Manual,0,0.89
Hyundai,2011,8.12,225112,Petrol,Dealer,Manual,1,0.75
Honda,2018,11.75,117645,CNG,Individual,Manual,0,2.49
Tata,2025,7.75,29226,Diesel,Dealer,Manual,0,6.87
Renault,2023,7.71,38853,Diesel,Individual,Automatic,0,4.87
Volkswagen,2011,12.54,227218,Petrol,Dealer,Manual,1,1.13
Mahindra,2009,13.26,254278,Petrol,Dealer,Automatic,1,1.06
Honda,2013,9.21,190035,Diesel,Dealer,Manual,1,1.23
Toyota,2021,14.54,55949,Petrol,Dealer,Manual,0,6.64
Mahindra,2024,13.73,23721,Petrol,Dealer,Manual,0,9.81
Hyundai,2021,8.91,71356,Petrol,Dealer,Manual,0,3.64
Toyota,2025,13.07,30089,Diesel,Dealer,Manual,0,11.7
Toyota,2010,14.3,242904,Diesel,Dealer,Manual,0,1.24
Mahindra,2009,12.55,251587,Diesel,Dealer,Automatic,1,0.96
Toyota,2008,12.22,262879,Petrol,Dealer,Manual,1,0.78
Maruti,2017,8.72,137091,Diesel,Dealer,Manual,2,1.75
Skoda,2020,11.46,93239,Petrol,Dealer,Manual,0,3.75
Volkswagen,2012,10.46,214133,Diesel,Dealer,Manual,1,1.21
Maruti,2012,6.37,209731,Petrol,Individual,Automatic,0,0.73
Hyundai,2009,9.24,253479,Petrol,Dealer,Manual,3,0.57
Toyota,2011,12.59,230995,Diesel,Individual,Manual,2,1.08
Honda,2012,10.19,212591,Petrol,Individual,Manual,3,0.85
Hyundai,2017,8.88,146840,Petrol,Dealer,Manual,2,1.6
Maruti,2011,8.09,237743,CNG,Individual,Manual,1,0.65
Honda,2021,11.22,81322,Diesel,Dealer,Manual,3,3.87
Hyundai,2019,8.71,104640,CNG,Dealer,Manual,0,2.26
Renault,2018,6.09,118533,Diesel,Dealer,Manual,1,1.48
Honda,2022,10.45,64607,Diesel,Dealer,Manual,0,5.6
Tata,2020,6.65,102605,Petrol,Individual,Automatic,0,2.11
Honda,2014,9.77,161383,Diesel,Dealer,Manual,0,1.41
Toyota,2011,13.99,220385,Petrol,Dealer,Manual,0,1.47
Renault,2014,8.11,172335,Petrol,Dealer,Automatic,0,1.21
Skoda,2024,14.44,34569,Diesel,Dealer,Automatic,0,10.8
Mahindra,2020,13.53,96552,Petrol,Dealer,Automatic,2,4.27
Volkswagen,2019,10.87,100163,Petrol,Dealer,Manual,1,2.78
Maruti,2012,7.49,203807,Petrol,Dealer,Manual,1,0.85
Ford,2010,10.94,244673,Diesel,Dealer,Manual,1,0.96
Tata,2008,9.25,262950,Diesel,Dealer,Manual,0,0.65
Maruti,2015,6.9,164981,CNG,Dealer,Manual,0,1.08
Honda,2016,10.52,132459,Petrol,Individual,Manual,0,1.8
Renault,2008,7.68,277355,Diesel,Dealer,Manual,0,0.51
Volkswagen,2009,11.68,261439,Petrol,Dealer,Manual,1,0.86
Hyundai,2019,9.59,119258,Petrol,Individual,Manual,1,2.14
Volkswagen,2011,8.94,222028,Petrol,Dealer,Manual,0,0.93
Mahindra,2024,12.22,38365,CNG,Dealer,Manual,2,7.54
Ford,2015,10.05,171299,Diesel,Dealer,Manual,1,1.57
Volkswagen,2019,10.4,104134,Diesel,Dealer,Manual,0,3.0
Honda,2011,11.35,236920,CNG,Individual,Automatic,0,1.1
Skoda,2018,12.23,123516,Petrol,Dealer,Manual,0,3.0
Renault,2023,7.71,48050,Petrol,Dealer,Manual,1,4.17
Volkswagen,2020,12.12,92718,Diesel,Dealer,Automatic,1,4.45
Maruti,2019,8.32,122269,Petrol,Individual,Manual,0,2.23
Honda,2015,10.22,173306,Petrol,Individual,Manual,0,1.49
Hyundai,2016,9.96,148428,Petrol,Dealer,Manual,1,1.77
Honda,2015,9.87,159568,Petrol,Dealer,Automatic,1,1.64
Mahindra,2022,13.11,61691,Diesel,Dealer,Manual,0,6.92
Hyundai,2012,8.96,202110,Petrol,Individual,Automatic,2,0.84
Renault,2022,6.04,58288,Diesel,Individual,Manual,0,2.98
Tata,2020,7.78,88748,Petrol,Dealer,Manual,3,2.11
Toyota,2012,12.68,220292,Petrol,Dealer,Automatic,0,1.57
Tata,2017,8.8,126933,Petrol,Dealer,Manual,1,1.7
Hyundai,2015,10.26,164840,Petrol,Dealer,Manual,0,1.71
Volkswagen,2011,11.15,237526,Diesel,Dealer,Automatic,0,1.29
Renault,2014,8.14,168115,Petrol,Dealer,Manual,0,1.24
Tata,2023,6.62,44493,Diesel,Individual,Manual,1,3.55
Ford,2019,10.96,111857,Petrol,Dealer,Automatic,0,3.38
Maruti,2023,8.72,47418,Diesel,Individual,Manual,1,4.51
Mahindra,2019,11.61,105919,Petrol,Dealer,Manual,1,2.98
Toyota,2011,15.77,220316,Petrol,Individual,Manual,1,1.27
Ford,2021,11.21,88819,Diesel,Dealer,Manual,1,4.39
Toyota,2025,14.66,8176,Diesel,Dealer,Manual,0,14.01
Volkswagen,2011,9.62,223665,Diesel,Individual,Manual,0,0.91
Tata,2013,8.17,185419,CNG,Dealer,Manual,0,1.05
Skoda,2025,13.75,22113,Petrol,Individual,Manual,0,10.57
Tata,2016,8.85,154613,Diesel,Dealer,Manual,0,1.62
Hyundai,2022,8.7,51913,Petrol,Dealer,Manual,0,4.25
Maruti,2021,7.0,74548,Petrol,Individual,Manual,1,2.63
Ford,2019,9.2,110404,Petrol,Dealer,Manual,0,2.54
Renault,2010,7.1,232144,CNG,Dealer,Manual,0,0.54
Ford,2012,8.08,204925,Petrol,Dealer,Manual,0,0.88
Hyundai,2009,9.09,261022,Petrol,Dealer,Manual,2,0.59
Volkswagen,2010,9.54,254737,Diesel,Dealer,Automatic,0,1.0
Ford,2011,9.89,228946,Petrol,Individual,Manual,3,0.72
Mahindra,2019,13.61,109643,CNG,Dealer,Manual,0,3.55
Hyundai,2020,8.78,88758,Petrol,Individual,Manual,1,2.74
Tata,2008,6.86,267283,Petrol,Dealer,Manual,0,0.46
Toyota,2020,15.23,94081,Diesel,Individual,Manual,0,4.63
Volkswagen,2009,9.95,255935,CNG,Dealer,Automatic,0,0.75
Volkswagen,2015,10.29,171019,CNG,Individual,Manual,1,1.29
Ford,2024,9.51,23459,Petrol,Dealer,Manual,2,6.53
Mahindra,2025,9.79,22830,Petrol,Dealer,Manual,0,8.44
Skoda,2011,12.45,221728,Petrol,Individual,Manual,1,1.09
Mahindra,2020,12.5,89991,Diesel,Dealer,Manual,1,3.88
Volkswagen,2012,9.18,204224,Petrol,Dealer,Manual,1,0.96
Skoda,2017,12.9,124196,Diesel,Dealer,Automatic,0,3.24
Mahindra,2018,10.43,105864,Petrol,Individual,Manual,0,2.18
Volkswagen,2021,10.16,73943,Diesel,Individual,Manual,1,3.95
Honda,2009,9.31,252643,Diesel,Dealer,Manual,0,0.71
Toyota,2012,16.71,199847,Petrol,Individual,Manual,0,1.66
Hyundai,2025,9.63,31251,Petrol,Dealer,Manual,0,8.44
Mahindra,2021,11.32,68725,Diesel,Individual,Manual,2,3.74
Renault,2019,8.14,94429,Petrol,Dealer,Manual,0,2.32
Honda,2018,9.75,133019,Diesel,Dealer,Manual,0,2.36
Hyundai,2021,8.75,72327,CNG,Individual,Manual,2,2.88
Mahindra,2014,12.04,188482,Petrol,Dealer,Manual,1,1.73
Renault,2021,6.84,70466,Petrol,Dealer,Automatic,2,2.92
Hyundai,2023,10.5,57009,Petrol,Dealer,Manual,0,5.8
Skoda,2025,11.14,8272,Diesel,Dealer,Manual,0,10.52
Ford,2011,11.03,226112,Petrol,Individual,Manual,0,1.02
Hyundai,2010,9.51,241606,Petrol,Dealer,Manual,0,0.83
Maruti,2011,6.49,217771,Petrol,Individual,Automatic,0,0.67
Tata,2009,6.5,264427,Diesel,Individual,Manual,1,0.43
Maruti,2013,6.43,211613,Petrol,Individual,Manual,1,0.73
Hyundai,2023,7.85,44928,Diesel,Dealer,Manual,0,4.8
Maruti,2009,6.11,251233,Petrol,Individual,Automatic,0,0.48
Maruti,2018,7.88,127499,Petrol,Dealer,Manual,3,1.62
Hyundai,2020,10.57,81871,Petrol,Individual,Manual,0,3.39
Mahindra,2024,10.48,19651,Petrol,Dealer,Manual,1,7.87
Hyundai,2010,8.21,234665,Petrol,Dealer,Manual,1,0.67
